Clubs;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2021;2022;2023
Arsenal;915;1200;1200;1181;1192;1292;1326;1331;1310;2017;1932;2238;2268;2800;2050;2263
Atlético Madrid;;;;;275;;;328;436;633;732;848;953;1000;1500;1539
Barcelona;535;784;960;1000;975;1307;2600;3200;3160;3549;3635;4060;4205;4760;5000;5508
Bayern Munich;838;917;1110;990;1048;1235;1309;1850;2350;2678;2713;3063;3024;4215;4275;4860
Borussia Dortmund;199;323;325;261;260;394;456;599;700;836;808;901;896;1900;1800;1928
Chelsea;454;764;800;646;658;761;901;868;1370;1661;1845;2062;2576;3200;3100;3100
Internazionale;555;403;370;413;441;490;401;483;439;559;537;606;672;743;1000;1026
Juventus;567;510;600;656;628;591;694;850;837;1299;1258;1472;1512;1950;2450;2160
Liverpool;537;1050;1010;822;552;619;651;691;982;1548;1492;1944;2183;4100;4450;5288
Manchester City;208;191;310;258;291;443;689;863;1380;1921;2083;2474;2688;4000;4250;4990
Manchester United;1453;1800;1870;1835;1864;2235;3165;2810;3100;3317;3690;4123;3808;4200;4600;6000
Milan;824;798;990;800;838;989;945;856;775;825;802;612;583;559;1200;1200
Paris Saint-Germain;;;;;;;;415;634;814;841;917;1092;2500;3200;4212
Real Madrid;1036;1285;1353;1323;1451;1877;3300;3440;3260;3645;3580;4088;4239;4750;5100;6070
Tottenham Hotspur;243;414;445;372;412;564;520;514;600;1017;1058;1237;1624;2300;2350;2803
S&P 500;1530;1400;920;1090;1350;1310;1630;1920;2110;2100;2410;2700;2750;4200;4130;4180