Player;Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Price
Emmanuel Agbadou;26;26.5;71;49;53;16;2;42;65;64.6;23;30;14;16;32;103;107;3;
Tosin Adarabioyo;26;23.2;30;13;22;6;2;16;23;69.6;7;20;15;5;26;56;140;1;
Marcos Acuña;32;21.2;57;36;34;17;6;30;42;71.4;12;16;5;11;23;80;36;0;
Francesco Acerbi;35;26.9;33;19;22;7;4;20;27;74.1;7;25;18;7;41;74;85;2;
Abner;23;6.7;12;9;9;2;1;7;16;43.8;9;8;2;6;8;20;24;0;
Yunis Abdelhamid;36;37.0;82;50;47;33;2;39;52;75.0;13;65;27;38;64;146;116;1;
James Abankwah;19;0.7;1;1;0;1;0;0;0;;0;4;2;2;0;1;5;0;
Nadir Zortea;24;2.5;10;5;3;7;0;3;4;75.0;1;4;0;4;0;10;4;0;
Mehdi Zeffane;31;7.3;12;7;5;7;0;4;21;19.0;17;14;6;8;22;34;12;0;
Akim Zedadka;28;3.9;1;1;1;0;0;0;2;0.0;2;3;0;3;2;3;6;0;
Oliver Zandén;22;1.6;2;1;1;0;1;2;5;40.0;3;0;0;0;1;3;7;0;
Axel Witsel;34;25.1;36;22;22;11;3;17;31;54.8;14;20;11;9;23;59;76;0;
Rúben Vinagre;24;0.3;2;2;1;1;0;1;2;50.0;1;0;0;0;0;2;1;0;
Clément Vidal;23;21.1;25;15;14;11;0;18;38;47.4;20;27;16;11;27;52;73;1;
Kevin Vázquez;30;4.9;13;8;5;7;1;8;12;66.7;4;4;1;3;2;15;8;0;
Jesus Vazquez;20;3.4;13;8;9;1;3;6;11;54.5;5;4;0;4;1;14;8;0;
Vanderson;22;24.6;84;48;36;34;14;44;75;58.7;31;36;9;27;48;132;36;1;
Filippo Terracciano;20;9.1;20;13;11;7;2;15;20;75.0;5;7;4;3;10;30;14;0;
Nuno Tavares;23;26.1;56;30;19;24;13;28;55;50.9;27;32;4;28;15;71;25;0;
Niklas Tauer;22;1.0;2;1;2;0;0;1;3;33.3;2;2;1;1;2;4;4;0;
Damián Suárez;35;21.6;49;33;23;19;7;26;47;55.3;21;40;0;40;15;64;36;0;
John Stones;29;20.5;23;13;11;8;4;7;10;70.0;3;17;10;7;9;32;40;0;
Kostas Stafylidis;30;11.6;27;16;13;8;6;10;24;41.7;14;21;8;13;20;47;31;1;
Tim Skarke;27;0.6;1;1;0;0;1;0;0;;0;1;0;1;0;1;0;0;
Daley Sinkgraven;28;3.8;10;7;7;3;0;7;9;77.8;2;8;4;4;5;15;7;0;
Kiliann Sildillia;21;22.0;33;20;10;19;4;18;30;60.0;12;24;9;15;21;54;47;1;
Stephan El Shaarawy;31;16.9;21;9;8;10;3;6;22;27.3;16;11;1;10;15;36;11;0;
Kingsley Schindler;30;12.1;23;12;13;8;2;18;28;64.3;10;14;2;12;15;38;24;0;
Matteo Ruggeri;21;9.2;17;12;5;9;3;8;16;50.0;8;14;3;11;12;29;16;0;
Rubén;22;9.9;30;15;18;9;3;20;29;69.0;9;14;4;10;18;48;18;0;
Sergi Roberto;31;14.5;22;15;12;6;4;7;18;38.9;11;15;7;8;11;33;16;0;
Jaïro Riedewald;27;0.7;2;1;2;0;0;0;1;0.0;1;2;0;2;0;2;4;0;
Rayan Raveloson;26;27.0;38;23;21;16;1;23;33;69.7;10;43;12;31;39;77;70;0;
David Raum;25;18.7;39;25;23;12;4;17;29;58.6;12;24;6;18;16;55;26;1;
Lilian Raolisoa;23;1.9;11;9;6;3;2;7;10;70.0;3;3;1;2;3;14;5;0;
Pedro Porro;24;12.6;25;16;8;15;2;14;39;35.9;25;25;2;23;15;40;24;1;
Ivan Perišić;34;23.4;42;24;25;10;7;27;47;57.4;20;29;7;22;22;64;49;1;
Roberto Pereyra;32;31.3;36;20;21;12;3;16;44;36.4;28;20;5;15;16;52;28;0;
Ricardo Pereira;30;5.0;11;7;8;3;0;7;17;41.2;10;8;2;6;4;15;20;0;
Danilo Pereira;32;26.8;32;17;15;14;3;19;26;73.1;7;26;19;7;36;68;59;1;
Rubén Peña;32;14.2;32;18;10;18;4;20;41;48.8;21;23;8;15;17;49;31;0;
Pedrosa;25;2.5;5;1;5;0;0;4;7;57.1;3;1;1;0;5;10;3;0;
Mads Pedersen;27;20.4;44;23;31;11;2;22;33;66.7;11;32;9;23;20;64;41;1;
Nathan Patterson;22;14.2;49;24;32;13;4;29;53;54.7;24;24;4;20;15;64;45;0;
Papa Ndiaga Yade;23;6.3;10;6;6;2;2;7;22;31.8;15;10;2;8;8;18;10;0;
Nikolas Nartey;23;5.3;11;6;7;3;1;5;9;55.6;4;9;0;9;4;15;12;0;
Joakim Mæhle;26;24.6;32;18;12;7;13;22;39;56.4;17;29;6;23;24;56;26;0;
Johan Mojica;31;3.0;6;3;5;1;0;2;3;66.7;1;3;2;1;4;10;5;0;
Tobias Mohr;28;9.3;8;5;3;5;0;2;7;28.6;5;14;5;9;8;16;19;0;
Maximilian Mittelstädt;26;9.4;39;20;31;6;2;17;39;43.6;22;13;2;11;26;65;27;0;
Chrislain Matsima;21;2.5;0;0;0;0;0;0;0;;0;3;3;0;2;2;7;0;
Erhan Mašović;25;24.2;50;31;28;21;1;30;51;58.8;21;30;14;16;27;77;79;0;
Ainsley Maitland-Niles;26;15.6;45;24;23;18;4;28;44;63.6;16;28;7;21;22;67;45;1;
Deiver Machado;30;24.3;45;26;18;20;7;21;34;61.8;13;21;4;17;21;66;27;0;
Dimitri Liénard;35;17.1;46;29;20;18;8;34;57;59.6;23;28;4;24;16;62;24;0;
Rico Lewis;19;10.0;16;9;9;5;2;6;11;54.5;5;8;4;4;6;22;13;1;
Darko Lazović;33;24.9;24;13;9;12;3;13;29;44.8;16;14;3;11;16;40;19;0;
Toni Lato;26;10.2;23;11;9;12;2;9;21;42.9;12;10;1;9;6;29;14;0;
Yasser Larouci;22;20.0;23;13;13;8;2;15;24;62.5;9;15;1;14;26;49;46;0;
Filip Kostić;31;0.8;2;0;1;1;0;0;0;;0;0;0;0;1;3;0;0;
Josan;34;12.0;25;20;20;5;0;14;27;51.9;13;8;0;8;7;32;15;1;
Dany Jean;21;0.1;0;0;0;0;0;0;1;0.0;1;1;0;1;0;0;0;0;
Tony Jantschke;33;1.1;2;1;1;1;0;1;1;100.0;0;5;3;2;0;2;5;0;
Reece James;24;13.8;31;20;10;18;3;15;19;78.9;4;17;2;15;12;43;23;0;
Kristijan Jakić;26;16.2;33;21;19;12;2;22;41;53.7;19;32;10;22;14;47;49;1;
Iglesias;25;23.8;61;35;40;18;3;33;63;52.4;30;40;5;35;21;82;91;1;
Iago;26;17.8;34;16;20;10;4;11;29;37.9;18;18;5;13;17;51;53;0;
Martin Hongla;25;14.5;18;13;13;5;0;11;21;52.4;10;15;12;3;8;26;46;1;
Omar El Hilali;20;1.0;3;2;3;0;0;1;2;50.0;1;1;0;1;1;4;6;0;
Benjamin Henrichs;26;24.3;73;46;41;29;3;43;66;65.2;23;48;4;44;35;108;46;0;
Achraf Hakimi;25;22.8;54;34;19;20;15;31;59;52.5;28;34;2;32;16;70;19;0;
Massadio Haïdara;31;18.6;24;16;9;9;6;12;24;50.0;12;26;9;17;36;60;39;1;
Christian Günter;30;30.5;29;21;18;9;2;13;43;30.2;30;22;4;18;16;45;41;0;
Josuha Guilavogui;33;13.1;18;11;7;10;1;6;17;35.3;11;19;13;6;23;41;52;0;
Raphaël Guerreiro;30;25.4;36;20;13;15;8;21;34;61.8;13;21;2;19;36;72;23;0;
Nemanja Gudelj;32;30.9;43;33;22;18;3;20;33;60.6;13;39;29;10;34;77;102;1;
Sergio Gómez;23;3.9;9;4;6;1;2;5;8;62.5;3;5;3;2;2;11;9;1;
Andrei Girotto;31;35.0;122;73;71;45;6;74;132;56.1;58;55;24;31;73;195;176;1;
Eric García;22;15.7;24;16;16;5;3;9;20;45.0;11;23;10;13;19;43;36;1;
Jeremie Frimpong;23;30.1;53;27;22;26;5;23;44;52.3;21;24;3;21;16;69;40;0;
Przemysław Frankowski;28;31.5;77;51;37;31;9;39;80;48.8;41;38;6;32;41;118;42;2;
Fali;30;19.0;27;19;19;8;0;18;29;62.1;11;24;15;9;13;40;70;1;
Fábio;33;2.5;4;2;1;2;1;4;6;66.7;2;2;0;2;3;7;11;0;
Ismaël Doukouré;20;25.5;48;24;23;21;4;20;34;58.8;14;26;8;18;27;75;54;0;
Matt Doherty;31;7.4;16;10;12;3;1;8;10;80.0;2;11;6;5;8;24;14;1;
Junior Dina Ebimbe;23;11.8;30;19;16;14;0;16;33;48.5;17;18;5;13;11;41;20;0;
Baila Diallo;22;1.0;1;0;1;0;0;0;0;;0;1;1;0;0;1;1;0;
Abdou Diallo;27;5.3;6;5;5;1;0;1;3;33.3;2;8;5;3;8;14;22;0;
Fabio Depaoli;26;1.5;5;3;2;3;0;3;4;75.0;1;1;0;1;1;6;4;0;
Thomas Delaine;31;11.9;28;14;16;6;6;13;26;50.0;13;8;3;5;16;44;9;0;
Márton Dárdai;21;10.5;17;8;9;8;0;9;18;50.0;9;14;9;5;11;28;45;1;
Colin Dagba;25;10.6;32;20;17;10;5;19;26;73.1;7;18;2;16;17;49;19;0;
Yan Couto;21;12.9;25;18;11;11;3;12;20;60.0;8;7;2;5;5;30;10;0;
Carlos Clerc;31;29.3;75;51;55;16;4;31;50;62.0;19;29;7;22;28;103;94;1;
Patrick Ciurria;28;30.6;31;18;20;10;1;17;33;51.5;16;24;2;22;7;38;32;0;
Ben Chilwell;27;15.6;21;17;12;8;1;13;25;52.0;12;21;2;19;18;39;26;0;
Federico Chiesa;26;9.5;22;11;6;6;10;5;14;35.7;9;13;1;12;0;22;1;0;
Calum Chambers;28;3.9;9;6;7;2;0;6;8;75.0;2;5;4;1;7;16;10;1;
Yannick Carrasco;30;25.7;35;14;21;10;4;23;54;42.6;31;23;1;22;12;47;19;0;
Daniel Caligiuri;35;3.2;8;5;5;3;0;4;5;80.0;1;3;2;1;3;11;2;0;
Fernando Calero;28;17.9;46;29;27;15;4;21;34;61.8;13;31;13;18;13;59;52;0;
Jimmy Cabot;29;5.7;20;12;10;8;2;12;26;46.2;14;5;0;5;4;24;12;0;
Daley Blind;33;1.5;2;0;2;0;0;0;1;0.0;1;4;2;2;2;4;6;0;
Lautaro Blanco;24;9.7;16;9;10;4;2;9;26;34.6;17;8;1;7;2;18;10;1;
Juan Bernat;30;18.3;32;16;18;9;5;21;39;53.8;18;11;2;9;9;41;22;1;
Jérémie Bela;30;8.3;6;4;2;1;3;3;4;75.0;1;10;1;9;9;15;8;0;
Mads Bech Sørensen;24;0.2;0;0;0;0;0;0;0;;0;0;0;0;1;1;1;0;
Thierno Balde;21;23.9;27;14;19;4;4;18;30;60.0;12;15;3;12;23;50;39;0;
Mitchel Bakker;23;18.4;16;8;9;7;0;6;15;40.0;9;20;2;18;15;31;20;2;
Youcef Atal;27;8.7;38;22;18;15;5;23;32;71.9;9;9;0;9;14;52;13;0;
Santiago Arzamendia;25;5.4;9;8;7;1;1;6;21;28.6;15;11;1;10;2;11;15;1;
Stredair Appuah;19;0.7;2;1;0;2;0;0;0;;0;2;0;2;1;3;0;0;
Dennis Appiah;31;8.8;21;11;14;7;0;10;27;37.0;17;13;5;8;10;31;16;0;
Josep Antoni Gayá;23;1.1;0;0;0;0;0;0;0;;0;4;2;2;1;1;6;0;
Ethan Ampadu;23;29.3;66;37;33;28;5;17;41;41.5;24;48;23;25;36;102;98;0;
Ibrahim Amadou;30;4.7;10;7;6;3;1;7;11;63.6;4;7;3;4;10;20;20;0;
Faride Alidou;22;2.0;8;5;3;4;1;3;9;33.3;6;3;0;3;1;9;3;0;
Warren Zaire-Emery;17;10.3;17;10;5;10;2;8;29;27.6;21;11;0;11;12;29;17;0;
Noah Weißhaupt;22;4.7;11;6;3;7;1;2;7;28.6;5;4;0;4;6;17;8;0;
Valery;24;10.7;12;6;4;6;2;5;9;55.6;4;8;1;7;10;22;9;1;
Cengiz Ünder;26;27.7;37;19;15;13;9;13;34;38.2;21;18;2;16;18;55;13;0;
Umut Tohumcu;19;3.0;10;5;4;5;1;3;9;33.3;6;4;0;4;2;12;8;0;
Renato Tapia;28;16.1;47;25;21;21;5;18;37;48.6;19;29;11;18;19;66;37;0;
Mario Suárez;36;0.1;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;
Tony Strata;19;1.5;4;3;4;0;0;4;5;80.0;1;2;0;2;1;5;7;0;
Antonio Sánchez;26;12.0;19;8;13;4;2;10;34;29.4;24;18;0;18;22;41;14;1;
Jérôme Roussillon;30;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Pablo Rosario;26;19.6;46;26;22;20;4;18;34;52.9;16;15;5;10;23;69;32;1;
Nicolai Rapp;27;0.8;3;1;3;0;0;0;3;0.0;3;0;0;0;0;3;1;0;
Ivan Radovanović;35;7.5;12;4;8;4;0;4;10;40.0;6;9;3;6;7;19;9;1;
Ignacio Pussetto;28;1.7;6;3;2;3;1;3;4;75.0;1;4;0;4;0;6;3;0;
Portu;31;19.7;28;21;14;10;4;18;42;42.9;24;23;3;20;17;45;20;1;
Jean Onana;23;9.0;28;17;8;17;3;10;22;45.5;12;15;5;10;18;46;20;0;
Olasagasti;23;0.7;4;4;1;2;1;1;2;50.0;1;2;0;2;0;4;1;0;
Saúl Ñíguez;29;12.2;42;27;18;18;6;22;37;59.5;15;27;5;22;15;57;29;0;
Youssouf Ndayishimiye;25;6.3;13;9;8;5;0;6;11;54.5;5;8;5;3;12;25;22;1;
Michel Ndary Adopo;23;2.9;7;2;4;2;1;1;3;33.3;2;2;2;0;1;8;4;0;
Lucas Moura;31;1.7;8;5;1;3;4;1;4;25.0;3;0;0;0;2;10;1;1;
Tete Morente;27;23.0;33;21;18;13;2;15;36;41.7;21;23;3;20;25;58;28;0;
Marlos Moreno;27;0.1;2;2;2;0;0;2;3;66.7;1;1;1;0;0;2;0;0;
Jon Moncayola;25;27.2;55;39;24;22;9;30;76;39.5;46;37;5;32;17;72;32;2;
James Milner;37;10.1;26;16;11;11;4;15;34;44.1;19;14;2;12;12;38;15;0;
Batista Mendy;23;31.8;70;30;34;28;8;37;53;69.8;16;38;6;32;21;91;29;2;
Thiago Mendes;31;22.9;48;27;24;21;3;30;40;75.0;10;28;8;20;47;95;51;4;
Gary Medel;36;16.4;25;15;16;7;2;9;16;56.3;7;17;10;7;28;53;34;0;
Weston McKennie;25;11.7;14;5;3;9;2;5;8;62.5;3;15;4;11;11;25;15;1;
Omar Mascarell;30;27.2;53;26;32;19;2;31;64;48.4;33;51;19;32;45;98;54;1;
Lorenzo Malagrida;20;1.2;1;0;0;0;1;1;3;33.3;2;1;0;1;0;1;1;0;
Ruben Loftus-Cheek;27;17.1;25;14;8;14;3;12;21;57.1;9;15;2;13;12;37;23;0;
Marcos Llorente;28;18.9;32;15;16;10;6;17;30;56.7;13;26;2;24;17;49;19;0;
Mehdi Léris;25;27.3;63;46;30;24;9;23;55;41.8;32;38;6;32;27;90;34;0;
Mario Lemina;30;9.3;32;21;11;14;7;12;18;66.7;6;13;5;8;11;43;20;0;
Théo Le Bris;21;16.1;31;19;17;11;3;15;33;45.5;18;21;2;19;18;49;31;0;
Grigoris Kastanos;25;14.3;39;23;18;19;2;16;40;40.0;24;20;6;14;8;47;8;0;
Ayman Kari;19;1.1;0;0;0;0;0;0;0;;0;4;0;4;3;3;0;0;
Vitaly Janelt;25;24.5;54;27;20;24;10;21;49;42.9;28;29;9;20;29;83;26;0;
Pape Gueye;24;5.5;18;7;10;7;1;7;15;46.7;8;9;2;7;9;27;2;0;
Pascal Groß;32;36.0;59;38;23;27;9;25;55;45.5;30;32;10;22;13;72;21;1;
José Gragera;23;5.1;19;9;11;6;2;6;11;54.5;5;10;4;6;7;26;18;0;
James Garner;22;8.9;16;13;4;8;4;9;19;47.4;10;9;1;8;12;28;13;0;
Fernando;36;17.5;34;23;14;17;3;18;30;60.0;12;21;10;11;24;58;29;0;
Nicolás Ezequiel Fernández;23;5.7;23;12;10;7;6;9;17;52.9;8;7;0;7;5;28;2;1;
Mikael Ellertsson;21;1.9;4;2;1;3;0;0;3;0.0;3;2;1;1;2;6;0;0;
Pablo Durán;22;0.4;0;0;0;0;0;0;0;;0;2;1;1;1;1;2;0;
Jodel Dossou;31;2.9;7;4;3;2;2;4;4;100.0;0;2;1;1;1;8;0;0;
John Donald;23;12.1;20;11;9;9;2;7;14;50.0;7;14;7;7;14;34;23;1;
Mamady Diarra;23;0.7;2;1;2;0;0;1;2;50.0;1;2;0;2;0;2;0;0;
Bryan Cristante;28;32.6;113;62;55;49;9;55;90;61.1;35;39;10;29;18;131;53;0;
Pathé Ciss;29;14.2;39;29;11;23;5;15;34;44.1;19;23;10;13;22;61;34;0;
Yanis Cimignani;21;3.1;11;5;3;7;1;4;5;80.0;1;5;1;4;2;13;2;0;
Franco Cervi;29;21.0;76;46;29;36;11;33;66;50.0;33;33;1;32;36;112;16;0;
Carmona;21;6.5;16;9;7;6;3;6;16;37.5;10;14;2;12;8;24;9;0;
Valentin Carboni;18;0.3;1;1;0;1;0;1;3;33.3;2;1;0;1;0;1;0;0;
Pierrick Capelle;36;15.9;36;21;17;15;4;22;55;40.0;33;24;3;21;15;51;24;0;
Antonio Candreva;36;30.3;17;7;13;2;2;11;38;28.9;27;7;3;4;17;34;32;0;
Eduardo Camavinga;21;22.3;68;48;32;21;15;24;64;37.5;40;24;5;19;17;85;25;0;
Joe Bryan;30;2.0;5;4;3;2;0;4;4;100.0;0;2;0;2;1;6;1;0;
Leonardo Bittencourt;30;18.1;53;28;20;25;8;25;62;40.3;37;13;0;13;10;63;15;0;
Alexis Beka Beka;22;6.1;16;5;6;9;1;4;15;26.7;11;9;1;8;12;28;6;0;
Simone Bastoni;27;13.2;47;24;23;19;5;15;33;45.5;18;20;5;15;8;55;14;0;
Iddrisu Baba;27;18.9;31;17;15;16;0;15;32;46.9;17;18;8;10;11;42;39;0;
José Antonio;19;0.5;2;1;0;0;2;0;0;;0;0;0;0;0;2;0;0;
Paul Akouokou;26;5.0;16;9;13;3;0;13;20;65.0;7;2;2;0;12;28;17;1;
Paxten Aaronson;20;1.9;6;5;2;2;2;2;3;66.7;1;2;1;1;0;6;2;0;
Mitchell Weiser;29;28.0;71;43;38;24;9;38;75;50.7;37;50;7;43;28;99;38;1;
Timothy Weah;23;19.4;24;14;13;9;2;16;29;55.2;13;17;3;14;23;47;18;0;
Sada Thioub;28;11.8;19;10;9;8;2;8;17;47.1;9;13;0;13;7;26;5;1;
Arnaud Souquet;31;4.0;22;16;13;7;2;11;14;78.6;3;8;3;5;4;26;4;0;
Aitor Ruibal;27;16.2;47;29;35;9;3;31;58;53.4;27;17;2;15;24;71;41;0;
Pascu;20;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Jordi Osei-Tutu;25;8.3;23;18;13;5;5;12;23;52.2;11;12;5;7;10;33;8;0;
Hugo Novoa;20;2.0;8;2;1;3;4;4;7;57.1;3;4;0;4;1;9;0;0;
Jesús Navas;38;22.0;19;12;8;3;8;11;22;50.0;11;18;7;11;22;41;52;1;
João Moutinho;25;0.6;7;1;5;1;1;3;4;75.0;1;1;1;0;0;7;0;0;
Farid El Melali;26;9.0;21;12;7;12;2;11;22;50.0;11;16;0;16;8;29;7;0;
Kevin Mbabu;28;1.6;3;2;2;1;0;1;3;33.3;2;2;0;2;3;6;3;0;
Valentino Livramento;21;0.3;2;1;2;0;0;0;0;;0;0;0;0;2;4;3;0;
Jamal Lewis;25;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
Giorgos Kyriakopoulos;27;7.8;13;6;4;5;4;10;23;43.5;13;14;2;12;4;17;10;0;
Filip Kostić;31;28.5;41;26;17;20;4;21;47;44.7;26;30;4;26;16;57;32;0;
Anthony Jung;32;29.1;46;27;19;20;7;31;58;53.4;27;30;6;24;22;68;63;0;
Ismail Jakobs;24;12.4;11;5;7;3;1;5;12;41.7;7;9;1;8;9;20;18;0;
Samuel Iling-Junior;20;3.5;7;2;3;1;3;4;9;44.4;5;5;1;4;2;9;6;0;
Jannes Horn;26;0.7;2;1;1;1;0;1;1;100.0;0;1;0;1;3;5;2;0;
Henrique;29;4.0;9;4;3;2;4;6;13;46.2;7;3;1;2;5;14;8;0;
Gabriel Gudmundsson;24;9.3;19;11;7;10;2;12;22;54.5;10;11;2;9;10;29;20;0;
Raphael Framberger;28;2.0;10;6;6;4;0;3;5;60.0;2;2;1;1;2;12;5;0;
Kilian Fischer;23;5.6;9;6;3;4;2;6;11;54.5;5;6;0;6;5;14;18;0;
Shane Duffy;31;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;
Souleyman Doumbia;27;19.9;45;31;31;13;1;17;31;54.8;14;20;3;17;27;72;27;1;
Moussa Djenepo;25;7.9;19;11;13;5;1;11;26;42.3;15;19;2;17;11;30;7;0;
Edan Diop;19;2.5;13;8;3;3;7;7;15;46.7;8;7;1;6;4;17;1;0;
Marco D'Alessandro;32;3.2;4;4;3;1;0;2;5;40.0;3;2;0;2;1;5;3;0;
Juan Cuadrado;35;23.1;50;34;34;13;3;27;65;41.5;38;15;2;13;24;74;32;0;
David Čolina;23;1.8;4;1;1;1;2;2;2;100.0;0;8;0;8;4;8;3;0;
Franco Carboni;20;0.7;1;1;1;0;0;0;2;0.0;2;3;0;3;1;2;0;0;
João Cancelo;29;11.2;23;14;9;10;4;10;23;43.5;13;14;2;12;15;38;22;0;
Lee Buchanan;22;5.2;14;10;2;11;1;6;12;50.0;6;5;0;5;12;26;21;0;
Andreas Bruus;24;18.1;12;6;9;3;0;8;20;40.0;12;13;2;11;17;29;24;0;
Ismaëlben Boura;23;1.0;6;4;4;2;0;5;6;83.3;1;2;1;1;2;8;3;0;
Ridle Baku;25;28.7;50;26;29;17;4;32;58;55.2;26;44;6;38;21;71;59;0;
Mehmet Aydin;21;6.3;25;18;14;9;2;11;24;45.8;13;11;0;11;10;35;15;0;
Ayoub Amraoui;19;3.3;6;5;3;3;0;2;5;40.0;3;1;0;1;4;10;4;0;
Jim Allevinah;28;24.9;39;24;24;11;4;19;62;30.6;43;24;2;22;24;63;26;1;
Felix Agu;24;0.5;1;0;0;1;0;0;0;;0;1;1;0;0;1;0;0;