Player;Age;90s;GA;DxG;Cmp%;Stp%;#OPA;Save%;Price
Álvaro Aceves;20;0.1;0;0.1;50.0;0.0;2;100.0;
Julen Agirrezabala;23;7.5;6;-0.5;36.6;11.5;10;68.4;
Doğan Alemdar;21;4.5;8;-1.5;34.3;6.7;5;56.3;
Alisson;31;37.0;43;8.1;41.0;5.8;89;72.1;
Alphonse Areola;30;3.4;7;0.3;37.8;4.3;1;68.8;
Kepa Arrizabalaga;29;28.5;33;2;31.9;4.5;52;73.3;
Sergio Asenjo;34;10.0;21;-4.2;35.8;3.0;17;60.8;
Emil Audero;26;25.0;39;-6.7;36.1;6.7;23;71.9;
Édgar Badía;31;36.0;63;6.5;45.3;3.7;20;72.0;
Francesco Bardi;31;1.0;0;0.6;55.6;0.0;0;100.0;
Oliver Baumann;33;34.0;57;-6.6;39.2;8.1;43;65.8;
Gavin Bazunu;21;32.0;56;-20.6;33.7;7.9;48;54.2;
Asmir Begović;36;1.0;0;0.5;30.8;4.3;0;100.0;
Daniel Bentley;30;2.0;3;0.9;34.5;13.5;1;76.9;
Paul Bernardoni;26;27.0;62;-10.6;32.3;5.9;18;62.2;
Marco Bizot;32;37.0;54;0.9;41.5;5.8;25;73.3;
Rubén Blanco;28;5.5;6;-2.1;23.4;4.1;7;68.4;
Janis Blaswich;32;26.0;29;-2.1;31.2;6.9;39;69.3;
Joaquín Blázquez;22;1.0;0;0.2;61.5;18.2;0;100.0;
Yassine Bounou;32;23.9;41;-3.7;38.0;6.5;39;63.2;
Claudio Bravo;40;12.0;9;2;33.3;1.9;6;81.0;
Fabian Bredlow;28;15.0;23;-2.9;42.6;5.9;15;69.5;
Marcin Bułka;24;2.0;2;1.1;40.0;7.7;3;66.7;
Juan Carlos;35;10.0;18;-1.3;35.9;5.0;21;62.8;
Marco Carnesecchi;23;27.0;47;-2.8;30.0;7.2;29;70.6;
Matis Carvalho;24;1.5;3;-1.1;32.6;5.3;0;62.5;
Koen Casteels;31;34.0;48;-4.1;43.7;5.9;51;70.1;
Michele Cerofolini;24;5.0;3;0.4;34.3;3.4;3;81.8;
Leonardo César Jardim;28;6.0;13;-13;;;;26.7;
Lucas Chevalier;22;32.0;31;-0.5;27.0;6.9;25;72.4;
Oliver Christensen;24;33.0;68;-10.1;34.8;6.8;70;61.3;
Andrea Consigli;36;35.0;55;-16.5;40.4;6.0;28;55.6;
Alex Cordaz;40;0.3;0;0.5;14.3;0.0;0;100.0;
Benoît Costil;36;19.0;41;-7;45.2;1.1;11;60.4;
Thibaut Courtois;31;31.0;29;0.7;38.8;8.7;40;78.8;
Alessio Cragno;29;1.0;3;-1.3;50.0;0.0;2;40.0;
Finn Dahmen;25;8.0;16;-2.5;34.5;10.8;8;65.9;
Rémy Descamps;27;1.0;1;0.5;55.6;9.1;0;83.3;
Michele Di Gregorio;26;37.0;49;-0.3;34.9;2.6;32;72.5;
Mory Diaw;30;37.0;47;8.4;39.1;7.3;25;75.8;
Stole Dimitrievski;30;36.9;49;-4.8;28.3;4.8;52;67.6;
Yehvann Diouf;24;31.0;31;6;44.2;9.3;35;78.1;
Ouparine Djoco;25;1.0;2;-1;17.6;7.1;5;33.3;
Marko Dmitrović;31;14.1;13;-0.8;31.6;5.6;10;76.4;
Gianluigi Donnarumma;24;37.9;40;3.3;36.5;7.6;27;76.3;
Bartłomiej Drągowski;26;32.7;54;-7.9;31.3;2.8;32;69.5;
Martin Dúbravka;34;1.7;1;0.9;60.0;3.3;0;88.9;
Maxime Dupé;30;38.0;57;-2.8;37.5;5.8;21;70.4;
Ederson;30;35.0;32;-5.8;44.5;6.6;33;62.3;
Tjark Ernst;20;1.0;1;1.5;38.5;0.0;0;85.7;
Łukasz Fabiański;38;34.6;48;-2.1;38.4;5.7;25;70.1;
Ralf Fährmann;35;11.4;13;-0.6;45.6;6.8;9;78.2;
Wladimiro Falcone;28;38.0;46;-2.8;26.9;4.3;42;73.7;
Aitor Fernández;32;21.0;19;-1.3;43.6;4.4;37;75.3;
Álvaro Fernández;25;11.0;18;-2.8;47.1;3.3;15;64.0;
Fernando;33;36.5;61;-0.5;35.7;6.4;26;70.5;
Vincenzo Fiorillo;33;1.0;2;-0.1;46.7;14.3;0;50.0;
Mark Flekken;30;34.0;44;2.4;40.8;7.4;43;74.0;
Yahia Fofana;23;11.0;19;-2.6;26.4;11.9;9;66.7;
Fraser Forster;35;13.5;24;-2.7;29.0;2.6;16;60.0;
Gauthier Gallon;30;29.6;65;-10.1;27.4;6.7;9;66.1;
Joan García;22;1.0;3;-1.2;33.3;12.5;1;50.0;
Paulo Gazzaniga;31;28.0;37;8.3;36.5;7.8;38;73.6;
David de Gea;33;38.0;43;-1.7;31.4;2.9;32;71.1;
Rafał Gikiewicz;36;23.0;41;0.3;40.9;5.8;45;70.6;
David Gil;29;4.0;5;1.3;36.2;3.6;4;82.6;
Pierluigi Gollini;28;3.0;2;-0.3;34.2;4.2;0;75.0;
Pierluigi Gollini;28;4.0;4;-0.9;41.7;3.6;4;75.0;
Antonio Gomis;20;0.1;1;-0.4;0.0;0.0;0;0.0;
Ivo Grbić;27;10.2;12;1.8;31.1;10.7;7;81.3;
Dominik Greif;26;1.0;3;-0.8;55.9;10.5;0;62.5;
Lennart Grill;24;5.0;11;-2;44.4;17.0;7;64.0;
Vicente Guaita;36;27.0;34;-1.6;35.9;6.3;26;72.4;
Péter Gulácsi;33;6.0;10;0.1;29.7;4.9;10;65.4;
Samir Handanović;39;13.7;18;-3;51.7;1.3;10;67.3;
Dean Henderson;26;18.0;31;-4.1;32.3;6.9;27;65.9;
Wayne Hennessey;36;3.0;5;-1.1;39.7;2.9;2;64.3;
Sergio Herrera;30;17.0;23;-1.6;43.0;7.4;20;69.0;
Lukáš Hrádecký;34;33.0;47;-5.7;31.4;6.7;26;71.8;
Daniel Iversen;26;12.0;22;-3.1;19.6;7.9;6;66.1;
Jan Jakob Olschowsky;22;4.0;11;0.4;29.7;10.2;4;67.7;
Sam Johnstone;30;9.0;10;0;30.3;1.9;11;76.5;
Filip Jörgensen;21;2.0;3;-0.7;0.0;11.1;4;50.0;
Bingourou Kamara;27;4.5;11;-1.9;31.6;5.8;2;60.0;
Caoimhín Kelleher;25;1.0;4;-1.1;100.0;0.0;0;60.0;
Gregor Kobel;26;27.0;32;1.8;39.7;5.1;37;73.9;
Tomáš Koubek;31;11.0;22;0;34.2;5.7;22;66.2;
Alban Lafont;24;37.0;54;0.8;36.6;8.5;39;74.9;
Jean-Louis Leca;38;1.0;1;0.6;64.3;5.0;0;75.0;
Benjamin Lecomte;32;10.0;14;-3.6;45.0;2.7;11;65.0;
Benjamin Lecomte;32;19.0;22;7.5;36.0;5.5;13;79.2;
Jeremías Ledesma;30;34.0;48;-0.9;32.1;7.1;26;77.7;
Bernd Leno;31;36.0;51;7;31.7;7.5;46;77.1;
Donovan Léon;31;2.0;2;-0.1;33.3;0.0;2;90.9;
Benjamin Leroy;34;31.1;60;-12.3;40.8;4.6;54;60.9;
Alexandre Letellier;33;0.1;0;0;;0.0;0;;
Mateusz Lis;26;8.3;16;0.4;30.7;7.8;13;72.5;
Hugo Lloris;37;24.5;39;-5.1;35.3;6.2;29;67.5;
Anthony Lopes;33;31.3;39;2.4;36.0;5.3;25;75.6;
Diego López;42;1.1;4;-2.3;25.0;0.0;2;20.0;
Pau López;29;32.5;34;-0.2;34.6;5.9;37;76.4;
Andriy Lunin;24;7.0;7;-2.5;51.9;1.9;11;61.1;
Andrey Lunyov;32;1.0;2;-0.6;40.0;16.7;1;50.0;
Mike Maignan;28;22.0;21;-0.7;39.4;6.8;32;69.4;
Giorgi Mamardashvili;23;38.0;45;-2.1;33.9;7.7;47;70.9;
Steve Mandanda;38;33.5;31;1.4;38.8;9.2;51;73.6;
Vito Mannone;35;17.9;24;1.2;31.8;3.5;9;72.6;
Agustín Marchesín;35;19.0;29;-8.3;38.6;5.5;25;62.5;
Federico Marchetti;40;0.7;2;-0.5;50.0;0.0;1;33.3;
Diego Mariño;33;0.5;2;-0.6;66.7;0.0;0;60.0;
Emiliano Martínez;31;34.9;38;-1.4;38.0;12.4;73;74.2;
Jordi Masip;34;27.9;42;3.8;34.2;3.8;14;74.5;
Luís Maximiano;24;0.1;;0;66.7;;;;
Alex McCarthy;34;6.0;17;-6.1;19.5;6.5;7;46.7;
Edouard Mendy;31;9.5;14;-2.1;35.1;7.0;11;64.1;
Alex Meret;26;34.0;24;1;38.6;3.3;39;74.7;
Illan Meslier;23;34.0;67;-13.4;23.6;7.9;66;59.5;
Alexander Meyer;32;7.0;12;-4.1;40.0;8.8;18;62.5;
Vanja Milinković-Savić;26;38.0;41;-5.2;30.4;7.7;70;73.5;
Antonio Mirante;40;0.0;0;0;;;0;;
Lorenzo Montipò;27;37.0;59;-9.4;46.5;5.2;55;68.0;
Florian Müller;26;19.0;34;-6.8;46.2;2.3;28;62.1;
Juan Musso;29;23.1;27;-5.3;39.5;5.5;24;71.9;
Yvon Mvogo;29;20.1;29;-1.9;37.7;5.5;7;71.4;
Keylor Navas;37;17.0;32;-2.7;33.1;4.7;9;66.3;
Neto;34;26.5;39;0.7;36.6;6.9;25;74.6;
Manuel Neuer;37;12.0;11;3.7;49.4;3.9;23;79.5;
Alexander Nübel;27;38.0;58;-8.5;42.5;7.9;33;72.8;
Ørjan Nyland;33;2.0;2;-0.2;33.3;0.0;0;60.0;
Jan Oblak;30;27.7;20;1.9;32.1;7.0;19;75.9;
Guillermo Ochoa;38;20.0;33;1.8;31.4;3.5;10;71.4;
Robin Olsen;33;3.1;8;-1.8;24.2;11.1;3;63.2;
Jonas Omlin;29;13.0;26;-1.9;32.9;6.7;12;68.5;
Jonas Omlin;29;14.3;18;0.1;32.2;6.8;20;71.4;
André Onana;27;24.0;24;-4.7;38.9;5.3;10;73.5;
Stefan Ortega;31;3.0;1;3.1;45.8;3.8;7;93.3;
Fernando Pacheco;31;1.0;2;-0.4;25.0;6.3;2;60.0;
Fernando Pacheco;31;16.0;33;-6.4;46.7;6.6;19;67.0;
Rui Patrício;35;35.0;35;-7.4;41.2;4.0;25;69.4;
Jiří Pavlenka;31;32.3;61;-9.1;39.8;4.6;38;65.3;
Gianluca Pegolo;42;2.0;3;0.2;50.0;7.1;0;66.7;
Iñaki Peña;24;0.8;2;-0.6;33.3;0.0;2;50.0;
Patrick Pentz;26;7.0;14;-2.1;30.9;7.8;4;58.6;
Simone Perilli;28;1.0;0;0.8;20.0;5.3;1;100.0;
Mattia Perin;31;10.5;7;4.2;29.9;2.6;11;85.0;
Samuele Perisan;26;7.0;9;-1.5;33.3;3.7;4;62.5;
Jordan Pickford;29;37.0;57;3;33.7;3.9;52;71.3;
Nick Pope;31;36.2;32;-0.7;32.6;8.3;74;74.6;
Ivan Provedel;29;37.9;30;1.4;42.4;4.3;55;77.3;
Ghjuvanni Quilichini;21;0.9;0;0.8;25.0;8.0;0;100.0;
Ionuț Radu;26;9.0;19;2;26.6;5.6;9;75.0;
Ionuț Radu;26;17.0;20;1.9;33.5;5.1;13;73.0;
Predrag Rajković;28;36.0;40;-0.8;41.1;5.3;19;74.4;
Diant Ramaj;22;1.0;1;0;33.3;6.7;1;80.0;
Aaron Ramsdale;25;38.0;43;-3;25.4;5.8;43;70.6;
Nicola Ravaglia;35;9.0;23;-5.1;33.8;6.5;1;67.2;
David Raya;28;38.0;46;2;39.3;8.7;54;77.7;
Pepe Reina;41;22.0;27;1.9;30.9;4.8;20;73.6;
Álex Remiro;28;38.0;35;-2.2;42.7;4.0;47;74.4;
Manuel Riemann;35;34.0;72;-3;47.1;5.8;121;68.0;
Rémy Riou;36;6.7;8;0.8;24.5;7.7;10;83.3;
Joel Robles;33;4.0;11;-0.5;25.4;4.7;3;66.7;
Marek Rodák;27;2.0;2;0;34.0;3.8;2;50.0;
Leonardo Román;23;1.0;0;0.1;42.9;3.3;2;100.0;
Francesco Rossi;32;0.0;0;0;0.0;0.0;0;81.5;
Gerónimo Rulli;31;14.0;10;2.5;42.0;9.3;21;;
Alessandro Russo;22;1.0;3;-0.2;0.0;0.0;0;82.1;
Frederik Rønnow;31;29.0;27;8.2;39.7;9.9;29;57.1;
José Sá;30;36.0;55;-6.6;27.6;8.0;28;67.1;
Brice Samba;29;37.0;28;4.4;40.0;8.9;41;80.0;
Robert Sánchez;26;23.0;30;-5.8;29.3;7.4;13;66.2;
Mouhamadou Sarr;26;2.0;3;-0.1;50.0;0.0;1;62.5;
Kasper Schmeichel;37;36.0;35;0.9;43.8;5.3;23;77.3;
Marvin Schwäbe;28;34.0;54;-11.7;38.1;4.1;22;61.2;
Alexander Schwolow;31;22.6;58;-12.2;40.8;2.2;23;60.9;
Matz Sels;31;38.0;59;-2.5;34.9;6.2;32;71.8;
Luigi Sepe;32;17.0;27;3.3;27.7;7.2;13;73.6;
Rui Silva;29;26.0;32;0.9;37.6;4.9;37;71.2;
Marco Silvestri;32;38.0;48;0.7;37.9;2.4;21;69.3;
Unai Simón;26;30.5;37;-5.3;38.2;5.1;40;67.3;
Tobias Sippel;35;5.7;12;-0.4;23.6;2.3;4;66.7;
Salvatore Sirigu;36;1.0;0;1;37.5;0.0;2;100.0;
Łukasz Skorupski;32;37.0;49;-1.2;39.4;5.9;24;73.9;
François-Joseph Sollacaro;29;6.0;14;-4.9;21.8;6.5;6;45.8;
Yann Sommer;35;10.0;14;2.7;34.0;3.1;13;80.0;
Yann Sommer;35;19.0;25;-1.3;40.7;5.7;27;67.3;
David Soria;30;38.0;45;0.5;45.2;6.1;46;75.3;
Marco Sportiello;31;14.9;21;-1.4;35.1;9.0;18;68.8;
Jason Steele;33;15.0;23;-4.5;45.9;7.9;19;61.4;
Mile Svilar;24;3.0;3;-0.1;36.4;14.3;4;70.0;
Wojciech Szczęsny;33;27.5;26;0;47.4;2.8;21;75.3;
Ciprian Tătărușanu;37;16.0;22;-5.2;48.2;4.6;13;67.2;
Marc-André ter Stegen;31;37.2;18;5.7;50.1;4.9;41;84.7;
Pietro Terracciano;33;29.0;38;-4.9;41.3;4.4;55;66.7;
Kevin Trapp;33;33.0;51;-8.7;24.5;4.2;24;62.3;
Mark Travers;24;11.5;32;-8;46.1;2.2;5;54.5;
Martin Turk;20;4.0;9;-1;44.9;0.0;2;73.3;
Samir Ujkani;35;0.1;1;-0.8;;0.0;0;0.0;
Sven Ulreich;35;3.0;2;0.4;34.6;5.9;4;75.0;
Guglielmo Vicario;27;30.9;39;1.9;30.3;5.6;22;73.9;
Iván Villar;26;19.0;24;-1.8;33.9;3.1;14;66.1;
Danny Ward;30;26.0;46;-9.5;31.0;5.6;42;63.0;
Axel Werner;27;2.0;4;-1.6;20.0;3.8;1;50.0;
Joseph Whitworth;19;2.0;5;-2.7;29.6;4.0;3;50.0;
Robin Zentner;29;26.0;39;-3.6;33.8;13.4;53;67.0;
Michael Zetterer;28;1.7;3;0.2;48.5;20.0;4;78.6;
Jeroen Zoet;32;3.7;4;-1.2;32.1;6.5;6;76.9;
Petar Zovko;21;0.8;2;-0.3;33.3;4.2;2;33.3;